Iah,Tsiunn,Ho,Hanji,Lomaji,Huagi
3,,01,多謝你!,To-siā--lí!,華 謝謝你!
3,,02,按呢好!,Án-ne hó!,華 這樣好!
3,,03,我伨你。,Guá thīn--lí.,華 我支持你。
3,,04,你講啥?,Lí kóng siánn?,華 你說什麼?
3,,05,著來呢!,Tioh lâi--neh!,華 要來喔!
3,,06,伊人真好。,I lâng tsin hó.,華 他待人很好。
3,,07,講予伊知。,Kóng hōo i tsai.,華 告訴他讓他知道。
7,,29,伊是一个普通人。,I sī tsit ê phóo-thong lâng.,華 他是一般人。
7,,30,你按呢講無毋著。,Lí án-ne kóng bô m̄-tioh.,華 你這麼說沒錯。
7,,31,你猶有啥物代誌?,Lí iáu-ū siánn-mih tāi-tsì?,華 你還有什麼事情?
7,,32,閣講嘛是無彩工。,Koh kóng mā sī bô-tshái-kang.,華 再說什麼都是白費工夫。
7,,33,下早仔伊有來揣你。,E-tsái-á i ū lâi tshuē--lí.,華 今天早上他來找你。
7,,34,你講話毋好遐大聲。,Lí kóng-uē m̄ hó hiah tuā-siann.,華 你講話不要那麼大聲。
7,,35,兄弟姊妹著愛仝心。,Hiann-tī-tsí-muē tioh-ài kāng-sim.,華 兄弟姊妹一定要同心。
9,,43,這个消息敢有確實?,Tsit ê siau-sit kám ū khak-sit?,華 這個消息正確嗎?
9,,44,你莫閣學伊講話矣。,Lí mài koh oh i kóng-uē--ah.,華 你別再學他說話了。
9,,45,"諾,原來是按呢喔!","Hiooh, guân-lâi sī án-ne--ooh!","華 哦,原來是這樣喔!"
9,,46,邀請伊來參加活動。,Iau-tshiánn i lâi tsham-ka uah-tāng.,華 邀請他來參加活動。
9,,47,你這个意見真寶貴。,Lí tsit ê ì-kiàn tsin pó-kuì.,華 你這個意見很寶貴。
9,,48,我毋知發生啥物代誌。,Guá m̄-tsai huat-sing siánn-mih tāi-tsì.,華 我不知道發生什麼事。
9,,49,我早就知影伊有問題。,Guá tsá tō tsai-iánn i ū būn-tê.,華 我早就知道他有問題。
11,,57,伊苦勸逐家愛關心社會。,I khóo-khǹg tak-ke ài kuan-sim siā-huē.,華 他勸告大家要關心社會。
11,,58,"慢且是,等伊來才閣講。","Bān-tshiánn-sī, tán i lâi tsiah-koh kóng.","華 等一下,等他來了再說。"
11,,59,我無佮意伊做代誌的方式。,Guá bô kah-ì i tsò tāi-tsì ê hong-sik.,華 我不喜歡他做事情的方法。
11,,60,我承認這項代誌是我毋著。,Guá sîng-jīn tsit hāng tāi-tsì sī guá m̄-tioh.,華 我承認這件事是我不對。
11,,61,"逐家咧開講,講甲笑咍咍。","Tak-ke teh khai-káng, kóng kah tshiò-hai-hai.","華 大家在聊天,說得哈哈笑。"
11,,62,聽你的腔口敢若是臺南人。,Thiann lí ê khiunn-kháu kánn-ná sī Tâi-lâm-lâng.,華 聽你的腔調好像是臺南人。
11,,63,我共你當做是上好的朋友。,Guá kā lí tòng-tsò sī siōng hó ê pîng-iú.,華 我把你當做是最好的朋友。
13,,71,阿伯𠢕早。,A-peh gâu-tsá.,華 老伯早安。
13,,72,你號做啥物名?,Lí hō-tsò siánn-mih miâ?,華 你叫什麼名字?
13,,73,伊是我的家後。,I sī guá ê ke-āu.,華 她是我的妻子。
13,,74,伊蹛佇阮隔壁。,I tuà tī guán keh-piah.,華 他是我鄰居。
13,,75,這个囡仔號名未?,Tsit ê gín-á hō-miâ--buē?,華 這個小孩命名了沒?
13,,76,阮囝今年二十出頭矣。,Guán kiánn kin-nî jī-tsap tshut-thâu--ah.,華 我兒子今年二十多歲了。
13,,77,兩个自小學就是同窗。,In nn̄g ê tsū sió-hak tō sī tông-tshong.,華 他們兩個人從小學就是同學。
15,,08,伊已經倒轉去下港矣。,I í-king tò-tńg-khì ē-káng--ah.,華 他已經返回南部了。
15,,09,"這條路傷狹,袂當相閃車。","Tsit tiâu lōo siunn eh, bē-tàng sio-siám-tshia.","華 這條路太窄,無法錯車。"
15,,10,"市場離遮真遠,愛行真久。","Tshī-tiûnn lī tsia tsin hn̄g, ài kiânn tsin kú.","華 市場距離這裡很遠,要走很久。"
15,,11,阮這个庄頭的交通真無方便。,Guán tsit ê tsng-thâu ê kau-thong tsin bô hong-piān.,華 我們這個村莊的交通很不便利。
15,,12,"落雨天的時陣,這條路就變甲真歹行。","Loh-hōo-thinn ê sî-tsūn, tsit tiâu lōo tō piàn kah tsin pháinn kiânn.","華 下雨天的時候,這條路就變得很難走。"
17,,08,"伊食菜,無食臊。","I tsiah-tshài, bô tsiah-tsho.","華 他吃素,不吃葷。"
17,,09,菜煮甲臭火焦去。,Tshài tsú kah tshàu-hué-ta--khì.,華 菜燒焦了。
17,,10,遐的果子予你食。,Hia-ê kué-tsí hōo lí tsiah.,華 那些水果給你吃。
17,,11,這箱柑仔予恁去分。,Tsit siunn kam-á hōo lín khì pun.,華 這箱橘子給你們分了吃。
17,,12,這尾魚仔煎了有赤。,Tsit bué hî-á tsian liáu ū tshiah.,華 這條魚煎得微焦。
17,,13,囡仔人毋通傷揀食。,Gín-á-lâng m̄-thang siunn kíng-tsiah.,華 小孩子不可以太挑食。
17,,14,毋通予豆油滴落來。,Mˉ-thang hōo tāu-iû tih--loh-lâi.,華 不要讓醬油滴下來。
21,,01,分做兩份。,Pun tsò nn̄g hūn.,華 分成兩份。
21,,02,你莫閣哭矣!,Lí mài koh khàu--ah!,華 你不要再哭了!
21,,03,莫閣振動矣!,Mài koh tín-tāng--ah!,華 不要再動了!
21,,04,愛睏就去睏。,Ài-khùn tō khì khùn.,華 想睡就去睡。
21,,05,你選佗一个?,Lí suán tó tsit ê?,華 你選哪一個?
21,,06,反過來洗這面。,Píng--kuè-lâi sé tsit bīn.,華 翻過來洗這一邊。
21,,07,伊才走無偌久。,I tsiah tsáu bô-guā-kú.,華 他剛離開不久。
23,,15,昨暗伊無轉來睏。,Tsa-àm i bô tńg-lâi khùn.,華 昨晚他沒有回來睡。
23,,16,你莫徛佇遮鎮地。,Lí mài khiā tī tsia tìn tè.,華 你不要站在這裡礙事。
23,,17,出力共伊捻落去。,Tshut-lat kā i liàm--loh-khì.,華 用力捏下去。
23,,18,桌仔予蟲蛀一空。,Toh-á hōo thâng tsiù tsit khang.,華 桌子被蟲咬蝕了一個洞。
23,,19,來喔!緊來看喔!,Lâi--ooh! Kín lâi khuànn--ooh!,華 來喔!快來看喔!
23,,20,共物件提落來遮。,Kā mih-kiānn theh loh-lâi tsia.,華 把東西拿下來這裡。
23,,21,伊的頭去挵著桌角。,I ê thâu khì lòng-tioh toh-kak.,華 他的頭撞到了桌角。
25,,29,"物件用了,愛囥蹛原位。","Mih-kiānn īng liáu, ài khǹg tuà guân-uī.","華 東西用完,要放回原位。"
25,,30,逐擺看著伊攏微微仔笑。,Tak-pái khuànn-tioh i lóng bî-bî-á tshiò.,華 每次看到他都微微笑。
25,,31,"欲上崎矣,你著愛出力行。","Beh tsiūnn-kiā--ah, lí tioh-ài tshut-lat kiânn.","華 要上坡了,你得用力走。"
25,,32,"伊共我拍,我用手共伊掰開。","I kā guá phah, guá iōng tshiú kā i pué--khui.","華 他打我,我用手把他擋開。"
