Iah,Tsiunn,Ho,Hanji,Lomaji,Huagi
3,一人際,1,多謝你!,To-siā--lí!,華 謝謝你!
3,一人際,2,按呢好!,Án-ne hó!,華 這樣好!
3,一人際,3,我伨你。,Guá thīn--lí.,華 我支持你。
3,一人際,4,你講啥?,Lí kóng siánn?,華 你說什麼?
3,一人際,5,著來呢!,Tioh lâi--neh!,華 要來喔!
3,一人際,6,伊人真好。,I lâng tsin hó.,華 他待人很好。
3,一人際,7,講予伊知。,Kóng hōo i tsai.,華 告訴他讓他知道。
4,一人際,8,有要緊無？,Ū iàu-kín--bô?,事情嚴不嚴重?
4,一人際,9,好膽莫走！,Hó-tánn mài tsáu!,有膽就不要逃跑！
4,一人際,10,你莫怪伊。,Lí mài kuài--i.,你別貴怪他。
4,一人際,11,你捌伊無？,Lí bat i--bô?,你認識他嗎?
4,一人際,12,有這款可能。,Ū tsit khuán khó-lîng.,有這種可能。
4,一人際,13,你共我記咧。,Lí kā guá kì--leh.,你給我記住。
4,一人際,14,著我的番矣。,Tio̍h guá ê huan--ah.,輪到我了。
5,一人際,15,伊加我一輩。,I ke guá tsi̍t puè.,他長我一個輩分。
5,一人際,16,我佮伊無親。,Guá kah i bô tshin.,我和他不親近。
5,一人際,17,你是按怎無來？,Lí sī án-tsuánn bô lâi?,你為什麼沒有來？
5,一人際,18,我的冊借人矣。,Guá ê tsheh tsioh--lâng--ah.,我的書借人了。
5,一人際,19,你莫咧遐假𠢕。,Lí mài teh hia ké-gâu.,你不要自作聰明。
5,一人際,20,好啦！莫吵啦！,Hó-lah! Mài tshá-lah!,好啦！別吵啦！
5,一人際,21,伊定定得罪人。,I tiānn-tiānn tik-tsuē--lâng.,他常常得罪人。
6,一人際,22,我比你較濟歲。,Guá pí lí khah tsē huè.,華 我年紀比你大。
6,一人際,23,"有也好,無也好。","Ū iā-hó, bô iā-hó.","華 有也好,沒有也好。"
6,一人際,24,𪜶兩个個性會合。,In nn̄g ê kò-sìng ē hah.,華 他們兩個個性合得來。
6,一人際,25,我同意你的看法。,Guá tông-ì lí ê khuànn-huat.,華 我贊成你的看法。
6,一人際,26,阿英仔真好笑神。,A-ing--á tsin hó-tshiò-sîn.,"華 阿英經常面帶笑容,眉開眼笑。"
6,一人際,27,咱暫時袂當相見。,Lán tsiām-sî bē-tàng sio-kìnn.,華 我們暫時不能見面。
6,一人際,28,做人就愛捌道理。,Tsò-lâng tō ài bat tō-lí.,華 做人要懂道理。
7,一人際,29,伊是一个普通人。,I sī tsit ê phóo-thong lâng.,華 他是一般人。
7,一人際,30,你按呢講無毋著。,Lí án-ne kóng bô m̄-tioh.,華 你這麼說沒錯。
7,一人際,31,你猶有啥物代誌?,Lí iáu-ū siánn-mih tāi-tsì?,華 你還有什麼事情?
7,一人際,32,閣講嘛是無彩工。,Koh kóng mā sī bô-tshái-kang.,華 再說什麼都是白費工夫。
7,一人際,33,下早仔伊有來揣你。,E-tsái-á i ū lâi tshuē--lí.,華 今天早上他來找你。
7,一人際,34,你講話毋好遐大聲。,Lí kóng-uē m̄ hó hiah tuā-siann.,華 你講話不要那麼大聲。
7,一人際,35,兄弟姊妹著愛仝心。,Hiann-tī-tsí-muē tioh-ài kāng-sim.,華 兄弟姊妹一定要同心。
8,一人際,36,你來遮有啥物目的?,Lí lâi tsia ū siánn-mih bok-tik?,華 你來這有什麼目的?
8,一人際,37,我相信你嘛有同感。,Guá siong-sìn lí mā ū tông-kám.,華 我相信你也有同感。
8,一人際,38,希望你會使成全我。,Hi-bāng lí ē-sái sîng-tsuân--guá.,華 希望你可以成全我。
8,一人際,39,請逐家恬恬聽我講。,Tshiánn tak-ke tiām-tiām thiann guá kóng.,華 請大家安靜聽我說話。
8,一人際,40,你緊來共我鬥跤手。,Lí kín lâi kā guá tàu-kha-tshiú.,華 你快來幫我。
8,一人際,41,啥人教你按呢做的?,Siánn-lâng kà lí án-ne tsò--ê?,華 誰教你這樣做的?
8,一人際,42,你陪我去彼爿好無?,Lí puê guá khì hit-pîng hó--bô?,華 你陪我去那邊好不好?
9,一人際,43,這个消息敢有確實?,Tsit ê siau-sit kám ū khak-sit?,華 這個消息正確嗎?
9,一人際,44,你莫閣學伊講話矣。,Lí mài koh oh i kóng-uē--ah.,華 你別再學他說話了。
9,一人際,45,"諾,原來是按呢喔!","Hiooh, guân-lâi sī án-ne--ooh!","華 哦,原來是這樣喔!"
9,一人際,46,邀請伊來參加活動。,Iau-tshiánn i lâi tsham-ka uah-tāng.,華 邀請他來參加活動。
9,一人際,47,你這个意見真寶貴。,Lí tsit ê ì-kiàn tsin pó-kuì.,華 你這個意見很寶貴。
9,一人際,48,我毋知發生啥物代誌。,Guá m̄-tsai huat-sing siánn-mih tāi-tsì.,華 我不知道發生什麼事。
9,一人際,49,我早就知影伊有問題。,Guá tsá tō tsai-iánn i ū būn-tê.,華 我早就知道他有問題。
10,一人際,50,咱千萬毋通拍歹感情。,Lán tshian-bān m̄-thang phah-pháinn kám-tsîng.,華 我們千萬不可以破壞彼此的感情。
10,一人際,51,恁兩个莫閣冤家矣啦!,Lín nn̄g ê mài koh uan-ke--ah--lah!,華 你們兩個人不要再吵了啦!
10,一人際,52,我有接著你寄來的批。,Guá ū tsiap-tioh lí kià--lâi ê phue.,華 我收到你寄來的信了。
10,一人際,53,𪜶兩个人的感情真好。,In nn̄g ê lâng ê kám-tsîng tsin hó.,華 他們兩個人的感情很好。
10,一人際,54,這件代誌毋著的人是你。,Tsit kiānn tāi-tsì m̄-tioh ê lâng sī lí.,華 這件事情錯的人是你。
10,一人際,55,這件代誌我共伊回掉矣。,Tsit kiānn tāi-tsì guá kā i huê-tiāu--ah.,華 這件事我已經謝絕他了。
